,text,user,location,Sentiment_Polarity,Expression Label
1961,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,what_a_savagee,"South Brunswick, NJ",0.25,positive
1963,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,rosibethpaiz,,0.25,positive
1964,"RT @SatlokChannel: Joe Biden won the #PresidentialElection in the US. Know what position is worth fighting for in this mortal world.

#USEl…",das_sharu,,0.3,positive
1966,RT @HKrassenstein: @realDonaldTrump Make America Great Again by letting Joe Biden take over!,ArleneSchloss,,1,positive
1967,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jackblackr_,,0.25,positive
1968,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,zack_smith12,"Athens, GA",0.25,positive
1969,@MilitarySkeptic @mbokholdt @realDonaldTrump @PeteHegseth @seanhannity Says the guy with a Creepy Joe Biden display pick eating icecream 🤣🤮  We all know what thats code for ;),WhiteHa37120180,,-0.125,negative
1970,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kelseyycarlson,she/her,0.25,positive
1972,"RT @CongressmanHice: .@JoeBiden is talking about ""unity.""

Here's something all Americans can unite behind: #CancelCulture.

Biden's radica…",JBRodri43383411,,-0.4,negative
1975,"RT @ABCPolitics: BREAKING: Joe Biden will win the state of Georgia, Edison projects. https://t.co/hbGx7kIZ24 https://t.co/bo5yYxILqd",JanelleJR7676,"Fresno, CA",0.8,positive
1978,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,DodgerPaul,"Indio, CA",0.05,positive
1979,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,paintlots,"Philadelphia, Pennsylvania",-0.015151515,negative
1980,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",TracySilva262,"Illinois, USA",0.2,positive
1982,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,Misha_MashallaH,Shangri La,-0.15,negative
1983,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL https://t…",RolandB3,The Republic of Houston,0.5625,positive
1985,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",slowqb,"Rochester, NY",0.5625,positive
1986,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ChallengerKeanu,On a Plate of Grapes,0.25,positive
1987,"RT @CNN: CNN PROJECTION: President-elect Joe Biden wins Georgia, flipping the traditionally red state, and Donald Trump wins North Carolina…",chatbrat11,"Riverside, RI ",0.2,positive
1988,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",SassyWoman19,,0.068181818,positive
1989,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Mevans2018,,0.25,positive
1990,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",JeffBetten,"Pittsburgh, PA",0.2,positive
1995,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,aplemkseriously,,0.25,positive
1996,joe biden keep talking bout scranton the only person i know in scranton is michael scott lol,queennefertitir,ᴘʟᴜᴛᴏ,0.4,positive
1998,"""if our corporate overlords could create a perfect president from scratch, they would end up with someone that looks very similar to Joe Biden. 

One thing that the elite value in any politician is weakness, and today Joe Biden is very weak. "" https://t.co/kpGu0CHmyC",lgfocus,"Colorado, USA",0.128125,positive
1999,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",newsArtEtc,"Arlington, VA",0.2,positive
2001,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Printers_Row,"Chicago, IL (Printers Row)",0.2,positive
2002,"the blood of our DEAD CHILDREN cry out from every drainage system in the world, that blood rises up in judgement against this nation and every person that has supported the systemic murder of GODS HERITAGE..... WAKE UP PEOPLE.. see more than Just DONALD TRUMP or JOE BIDEN.. https://t.co/zQAkPUh8Hj",KingsDaughterz,,0.15,positive
2004,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,LisaSin62622281,,0.25,positive
2005,RT @AdamTexDavis: Is there anything funnier &amp; more pathetic than Donald Trump trying to convince Donald Trump that Donald Trump won an elec…,laquialene69,"Alabama, USA",-0.25,negative
2006,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,BriSick,"Los Angeles, CA",0.25,positive
2007,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,questing_moon,"Southern California, USA",0.25,positive
2008,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,samaiyaaa,Chicago,0.25,positive
2010,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,flomillistan321,,0.25,positive
2011,"The Swamp and DEEP STATE fraudulently CHOSE JOE BIDEN (who is mentally incapable of being POTUS). Mark my words, he won’t get far b4 Kamala takes over (the first person who dropped out as a candidate running 4 POTUS bcause she couldn’t get ANY support)! #AuditTheVote #voterfraud https://t.co/uTwfkFE8fz",tln0329,"Tennessee, USA",0.078125,positive
2012,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,litzy_joffre,,0.25,positive
2013,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Mari2218,"Boston, MA",0.2,positive
2014,"RT @CherylW54985317: Thank you, Randy Quaid! Wake up America to the dangers of the 'socialism loving' Bernie Sanders and the 'don't know wh…",bobcalmex,"Apple Valley, CA",0.6,positive
2015,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",DanielFCHB87,"Huntington Beach, CA",0.2,positive
2016,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",GodSaveUsFrom45,,0.4,positive
2017,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,MatthewWolfff,"Katonah, NY",0.25,positive
2018,Joe Biden is sick of the wealthy taking advantage and everything Joe Biden that's what you did with your son what is wrong with you you did a worst thing ever how could you even talk about anybody else,2livelifelove,,-0.428571429,negative
2019,"RT @mmpadellan: You know what's REALLY awesome?

Joe Biden is actually WORKING right now, not having random Twitter tantrums or insulting p…",dzigginator,,-0.042857143,negative
2020,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,AnneHahnSmith1,,0.05,positive
2021,"@NotGbo Oh yes, Joe Biden. 

Held the most popular events. Won Iowa AND New Hampshire. How could I have forgotten?",elizabeth_mac,brit marling's back yard,0.412121212,positive
2022,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,staaaaaaci,"Indiana, USA",0.25,positive
2023,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_roxymarie,SoCal,0.25,positive
2024,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",jpooch0813,NYC ,0.25,positive
2025,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Jessica_GuzmanM,,0.25,positive
2027,RT @TimFullerton: Here is Joe Biden ending Rudy Giuliani's presidential campaign in 2007 with one of the greatest burns of all time. https:…,twilou200,,1,positive
2028,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jayruez,                     ,0.25,positive
2029,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ItsKellyJelly,,0.25,positive
2032,RT @ProjectLincoln: Donald Trump lost a free and fair election. He will not be in president after Joe Biden is sworn into office on January…,Melonblue,"Brooklyn, NY",0.55,positive
2033,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,DreaBeLike_,"Chicago, IL",0.25,positive
2034,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,femalestoner42,"Michigan, USA",0.25,positive
2035,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jen_nela,Northeast L. A.,0.25,positive
2037,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Pompadour_64,"Virginia, USA",0.25,positive
2039,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,EthanLynskey,"Lubbock, TX",0.25,positive
2040,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,naya_jnino,"right here, right now",0.25,positive
2041,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Miami_Bieb_98,"Miami, FL ➡️ Orlando, FL ",0.25,positive
2042,"RT @Channel4News: Philadelphia's mayor has told Donald Trump to ""put his big boy pants on"" and accept defeat.

The president has alleged el…",jomareewade,"The Bebop, #GeeksResist HQ",-0.05,negative
2043,RT @APFactCheck: A wide range of false claims have circulated online about Dominion Voting Systems since a tabulation mistake was identifie…,scientistnicco,,-0.25,negative
2044,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mattlowens44,"Lake Charles, LA",0.25,positive
2045,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,casertanick,"Columbus, OH",0.25,positive
2046,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,QueenChyXII,"Salt Lake City, UT",0.25,positive
2047,RT @RealMattCouch: Does anyone with a functioning brain actually think President Trump lost this election? Good Lord... No one with Sanity…,jrdaniel771,,0.35,positive
2049,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_hrtshpd,Canada,0.25,positive
2050,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Bmusd_N_Appalld,..everywhere but here...,0.2,positive
2051,"Donald Trump appeared to acknowledge for the first time the possibility of an upcoming Biden administration, though he stopped short of conceding the race and did not mention his Democratic rival by name. #IEWorld #Election2020

https://t.co/QmC7x0kOO2",IndianExpress,India,0.125,positive
2052,"RT @BrynDonovan: Not many non-old people care about ageism and a lot of otherwise awesome people are ageist, but I've heard from a few seni…",BacaDawn,,0.183333333,positive
2053,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Magaji_1,Lagos,0.25,positive
2054,RT @atrupar: Was Judge Jeanine busy? https://t.co/tjMZh6zu6M,JoWilso99859694,SW FL,0.1,positive
2055,RT @BreitbartNews: A top aide to former Vice President Joe Biden’s transition team once helped steer $3 million in taxpayer dollars to a Hu…,vkthomas123,,0.25,positive
2056,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,PsiionicVII,Somewhere that's Nowhere...,0.25,positive
2057,RT @AdamTexDavis: Is there anything funnier &amp; more pathetic than Donald Trump trying to convince Donald Trump that Donald Trump won an elec…,mferrel81636699,,-0.25,negative
2058,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cassimistic,"Wisconsin, USA",0.25,positive
2061,"@HKrassenstein Who cares what they say it doesn't matter, Joe Biden is still the president elect.",macmackins60,,0.8,positive
2062,"@DanScavino @realDonaldTrump 306.  
Joe Biden.  
Massive Landslide.  
Historic voter turnout.  
Blowout of Popular Vote by 5+ Million.
Donald Fired—LOSER!",RAGreen7,,0.25,positive
2063,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,izaeq_,tx 🤢,0.25,positive
2064,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,JanCancro,,0.25,positive
2065,RT @goldengateblond: wait I thought Trump was trying to win this thing https://t.co/9jWJnURrFZ,Sevhead23,,0.8,positive
2066,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Elizabethan2,"Fort Worth, Texas",0.25,positive
2067,RT @SamTLevin: Worth noting: these deportations are expected to continue under Joe Biden. Biden has pledged to target and prioritize people…,andreskwon,"Los Angeles, CA",0.1,positive
2069,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jms_jnt,"New York, USA",0.25,positive
2071,"RT @JennaEllisEsq: If Joe Biden is really confident he won legally and legitimately, why is he so afraid of proving it?",hpfiedler,,0.033333333,positive
2073,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lucasthorn,"Melbourne, Victoria",0.25,positive
2074,"@realDonaldTrump @seanhannity @LouDobbs Now you know he is Biden, not sleepy Joe.
God is good",EricSenaAugust,,0.7,positive
2077,"RT @maggieNYT: The president is conflating a media strategy with a legal one, according to a half-dozen advisers who are worried about Giul…",thesofa,The Netherlands,0.2,positive
2079,"RT @RealMiniAOC: If you have a problem figuring out whether you're for Joe Biden, then you ain't dead.",AxNelo,,-0.2,negative
2080,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,bellaxmeghan,,0.25,positive
2081,"RT @TBlountPolitics: On his show tonight, @seanhannity is making fun of Van Jones for getting emotional when Joe Biden won the election. Ha…",afitzhughe,"San Antonio, TX",0.15,positive
2082,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,SusanaDeal,,0.1,positive
2083,"@RussOnPolitics Unless the Dems win both Georgia seats, Joe Biden will be the first incoming Democratic President not to have a trifecta since 1885 and the first not to have a Dem Senate majority since before 1850.",kewgardens1,"Manhattan, New York",0.433333333,positive
2084,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",davidbritlesbee,25| insta: stina.kp,0.5625,positive
2086,RT @ndtv: Biden Wins White House With 306 Electoral Votes To Trump's 232: Report https://t.co/q5tksfDtXH https://t.co/ta8RyBSqjm,Shubham26819196,Aurangabad (Bihar),0.15,positive
2087,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,bossbxtchs,,0.25,positive
2089,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lindareyna_,"El Paso, TX",0.25,positive
2090,"RT @AC360: ""I do share that confidence,"" says Atlanta Mayor @KeishaBottoms on Joe Biden being projected to win Georgia.

""With such a wide…",GeralynLunsfor1,"Port Charlotte, FL",0.4,positive
2092,@eilperin @CletaMitchell BIDEN  JOE.   Hello.   God  sends the good to the good. . Thank you.,dobreva_jivka,България,0.7,positive
2093,"@RepDougCollins @realDonaldTrump There need not be a fight of any kind!
Joe Biden won with 306 Electoral Votes. And he won the popular vote with over 77 Million Votes. 
🇺🇸💙PRESIDENT-ELECT
JOE BIDEN💙🇺🇸 https://t.co/b4dSrEvrDH",truthfulswan,,0.675,positive
2094,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,rach_mcdonnell8,"Pennsylvania, USA",0.25,positive
2095,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,BrianKSmith81,,0.25,positive
2096,RT @CNN: Two judges in Pennsylvania have tossed a half dozen court cases the Trump campaign had brought to invalidate thousands of votes ar…,MarcSargent7,"Atlanta, GA",-0.166666667,negative
2098,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Marlene20188,"California, USA",0.25,positive
2099,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,rockstar_bass,Dallas ,0.25,positive
2100,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,Peachie100,United States,-0.015151515,negative
2102,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ChubbyDrBanner,"Stone Mountain, GA",0.25,positive
2103,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ashleyresisting,"Overland Park, KS",0.25,positive
2104,"@dobunni @socalledcharlie @DavidFutrelle sorry, liking joe biden doesn't make you not a TERF",anarchotokonoko,a funny-looking isthmus,-0.5,negative
2105,RT @WTOL11Toledo: A member of President-elect Joe Biden's new coronavirus task force says a 4-to-6 week lockdown with financial help could…,ilovemykids2106,"Ohio, USA",0.068181818,positive
2106,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,GingerJoSpice,Shangra-la-de-da,-0.15,negative
2107,"RT @CassyWearsHeels: if Joe Biden wins, then China really won the presidential election.",Darrell03092157,,0.25,positive
2108,RT @PattyArquette: Joe Biden is our new President. End of story.,STARGATEZ,"New York, USA",0.136363636,positive
2110,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,lauracosta_13,"Phoenix, AZ",0.1,positive
2112,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,brirobby,Jtown,0.25,positive
2114,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,OlophNihlson,Stockholm,0.25,positive
2115,"RT @TIME: China congratulated Joe Biden and Kamala Harris on winning the U.S. presidential election, ending days of speculation about when…",st_h_n_,,0.5,positive
2116,"RT @lexi4prez: Since it seems that many people can only make vague references to Joe Biden’s “mistakes,” and seem to lack a full understand…",JanbiKaghado,,0.0875,positive
2117,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,aryy821,"California, USA",0.25,positive
2118,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Marvinmolina007,BOSTON MA,0.2,positive
2119,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,wrice272,,0.25,positive
2121,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",raveon49,"Richardson, TX",0.2,positive
2122,RT @NateEvans00: Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭,jacq__son,,0.3125,positive
2123,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,biggestgranddad,The mountains,0.25,positive
2124,"RT @danbarker: By coincidence: exactly 6 years ago today, as Vice President of the USA, Joe Biden sent this note to his staff.

I presume i…",sellen15113,,0.25,positive
2127,"That's the number of electoral votes President-Elect Joe Biden has won on Friday, Nov. 13th. (not such bad luck for Biden; pretty bad for @realdonaldtrump, though)
#ConcedeNowTrump https://t.co/BDNo136c9T",theLegacyPrep,Texas,-0.23,negative
2128,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,EmmaMcAlpine5,,0.25,positive
2129,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,maggieeeo,,0.25,positive
2130,"RT @jimmy_dore: I hope people realize that this is worse than gaslighting, it’s straight up mind- fuckery. Joe Biden Loudly pushed Iraq War…",Conner_Thomas,,-0.033333333,negative
2132,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",Muff_Meringue,,0.2,positive
2133,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",ManBearPig4Real,,0.25,positive
2135,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,haehaesaranghae,Chile ♥,0.25,positive
2136,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,CiaraStarling,,0.25,positive
2137,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,bubbacalip29,,0.1,positive
2138,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",RobSaintonge,,1,positive
2139,"China has acknowledged that Joe Biden won the US election, leaving Russia the only major power still on the fence https://t.co/reONStBNdx via @Yahoo Ok BIDEN WHAT WILL YOU DO ABOUT YOUR FRIENDS IN CHINS AND HOW WILL YOU FIGHT THE  VIRUS HOW DEAR YOU EVEN SPEAK OF NORTH EAST PA.",AndyMarrse,"Pennsylvania, USA",0.1875,positive
2140,"Former Vice President Joe Biden and Kamala Harris sold their souls to Satan! Americans who voted for him, you are screwed! Bend over and take it like a man/woman! He doesn't give a shit about you! https://t.co/qAEvSvUDs9",DonnieASmith2,,-0.125,negative
2141,RT @atrupar: Was Judge Jeanine busy? https://t.co/tjMZh6zu6M,jaibeau,CAD.  QUEBEC,0.1,positive
2142,@JackPosobiec Creepy joe biden's fans should come along with the dead people that voted for sleepy joe too.,OkeZion1,Biafra,-0.35,negative
2143,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,fccgltd,Global Citizen,0.25,positive
2144,"RT @maggieNYT: The president is conflating a media strategy with a legal one, according to a half-dozen advisers who are worried about Giul…",ljl_geek,"Laubenheim, Deutschland",0.2,positive
2146,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",azmommm,,0.25,positive
2147,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,RealLaureen,,0.25,positive
2148,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,TabbaraBOmar,"Texas, USA",0.25,positive
2149,RT @itsthekenn: A Joe Biden fan cam? Absolutely! https://t.co/XMjFQc0gsQ,DietAbortion,,0.25,positive
2150,"RT @nytimes: Breaking News: President-elect Joe Biden won Georgia, a major victory for Democrats, and President Trump took North Carolina.…",SportsGrind_Don,"Albany, GA - Jacksonville, FL",0.0625,positive
2151,"@sanaonline__ @realDonaldTrump @BrianKempGA Okay he won. That’s the only thing you want to hear. No facts matter to you guys. You hinge on his every word. Now get the fuck out of the way and welcome your new President, Joe Biden to the White House and support your new leadership.",BergevinJ,United States,0.167532468,positive
2152,"RT @TheCivicsDean: Friday The 13th SCARY Stat! 

Had 23,069 Americans voted 4 Trump instead of Joe in just 3 states, Trump wins with 271 El…",gorfram,"Seattle, WA",-0.108333333,negative
2155,RT @FirenzeMike: Watch out folks Trump put Rudy Giuliani in charge....Joe Biden is definitely in trouble now https://t.co/aGtAYfNU4q https:…,shossy2,,-0.2,negative
2156,"RT @EddyJokovich: All media outlets have reported Morrison is ""now advising"" Joe Biden. It's actually not true. Has anyone in the media act…",Clarkie_Qld,Brisbane,-0.175,negative
2159,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",courtneyltpg,,0.5625,positive
2160,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Abby88791626,somewhere in the world,0.25,positive
2162,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,tstraus68,San Francisco Bay Area,0.25,positive
2163,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,zoeebrunnerr,"Dublin, OH",0.25,positive
2165,RT @politico: President-elect Joe Biden’s return to “normalcy” will include restoring the daily press briefing — and at least two women are…,EllaLark01,"Santa Monica, CA",-0.15,negative
2167,RT @CivicYouth: NEW - THE ASIAN YOUTH VOTE: Our analysis finds that young Asian Americans gave Joe Biden some of his strongest support in t…,lesterjeng,,0.059090909,positive
2168,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,VaguelySquare,"Webster City, Iowa",0.25,positive
2172,RT @PrestonMitchum: President-Elect Joe Biden flipping Georgia is a testament to everyone to listen to young Black organizers.,madinsouthb,"New Jersey, USA",-0.033333333,negative
2173,RT @ndtv: Biden Wins White House With 306 Electoral Votes To Trump's 232: Report https://t.co/q5tksfDtXH https://t.co/ta8RyBSqjm,kashyap2020ind2,,0.15,positive
2174,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,kjoerwin,Ma.USA,-0.15,negative
2175,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JayTeeSays,"Houston, TX",0.25,positive
2176,RT @nypost: Joe Biden transition official wrote op-ed advocating free speech restrictions https://t.co/LKNJQf6Ui0 https://t.co/AOQXGmGQ2F,JMU2012,Suplex City,0.4,positive
2177,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",aplemkseriously,,0.4,positive
2179,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",bouncingelf,Wildwood,0.068181818,positive
2180,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,baynes_ky,no idea,0.25,positive
2182,"@KellyannePolls 306 electoral votes is a very good showing, isn't it. It is even more impressive when you win the popular vote by over 5 million votes as opposed to losing it by a couple of million voted. Way to go, Joe Biden!",AndyD108,,0.792,positive
2183,RT @atrupar: Was Judge Jeanine busy? https://t.co/tjMZh6zu6M,ItsTracyTime,"Philadelphia, PA",0.1,positive
2186,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,MrsBebusky,,0.25,positive
2187,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",RealYeshua1,IL USA Blue/Green Planet Earth,1,positive
2192,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",CindyBlattman,"Washington, USA",0.4,positive
2196,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,gere_fulton,"Columbia, SC",-0.015151515,negative
2198,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",BMBaumgartner,"Detroit, MI",0.5625,positive
2200,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",CnoirBlaque,"Oklahoma City, Oklahoma",0.068181818,positive
2201,"RT @maggieNYT: Trump made the move in reaction to his team dropping a suit they were certain to lose in Maricopa Cty, which closed the door…",ljl_geek,"Laubenheim, Deutschland",0.057142857,positive
2202,"Pope Francis Congratulates Joe Biden on Sham Election. Archbishop Calls For Compromise 4 Common Good | https://t.co/0psasDhYDQ

#thetrumpettimes
#Jesusfirst
#JesusSaves https://t.co/gyaNHUUxfH",thetrumpettimes,,0.066666667,positive
2203,RT @FirenzeMike: Watch out folks Trump put Rudy Giuliani in charge....Joe Biden is definitely in trouble now https://t.co/AkA8GnJMVq,ScottTa89269884,,-0.2,negative
2204,"RT @CNN: CNN PROJECTION: President-elect Joe Biden wins Georgia, flipping the traditionally red state, and Donald Trump wins North Carolina…",JustWhatNowWhy,Waiting For My Soros Check ,0.2,positive
2209,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",smishkey,,0.25,positive
2210,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",gatadelafuente,"St Paul, MN",0.5,positive
2211,"RT @gathara: #BREAKING Outraged by power-sharing deal between populist dictator, Donald Trump, and President-elect, Joe Biden, white extrem…",NanaB_2010,Washington state,-0.45,negative
2214,"RT @MaryLTrump: President-elect Joe Biden won legitimately and decisively. No matter how much Donald and his enablers lie and spin, nothing…",ResistFascism_,Born Again States of America,0.2,positive
2215,"RT @Dave_Khan: “How to win friends &amp; influence people”

“Premier @jkenney called Michigan’s Governor &amp; AG “brain dead” over the state’s leg…",HKarhar,,0.3,positive
2216,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jacsvalens,,0.25,positive
2218,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mapgirl61,,0.25,positive
2219,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,gynnyp,,-0.015151515,negative
